09 Feb 11:27:25 ::  Train Loss Value: 0.3341597306668758
09 Feb 11:31:24 ::  Train Loss Value: 0.333916112562418
09 Feb 11:35:28 ::  Train Loss Value: 0.3348633573001623
09 Feb 11:39:28 ::  Train Loss Value: 0.33337074043273923
09 Feb 11:43:27 ::  Train Loss Value: 0.33614029010653496
09 Feb 11:47:24 ::  Train Loss Value: 0.33368360365450384
09 Feb 11:51:22 ::  Train Loss Value: 0.3335270406234264
09 Feb 11:55:21 ::  Train Loss Value: 0.33483324312329293
09 Feb 11:59:16 ::  Train Loss Value: 0.335880326397419
09 Feb 12:03:19 ::  Train Loss Value: 0.33373928560733795
09 Feb 12:07:21 ::  Train Loss Value: 0.3297088689053059
09 Feb 12:11:27 ::  Train Loss Value: 0.3294995932102203
09 Feb 12:15:29 ::  Train Loss Value: 0.32857750204116104
09 Feb 12:19:17 ::  Train Loss Value: 0.3330021911394596
09 Feb 12:23:22 ::  Train Loss Value: 0.33291959636211393
09 Feb 12:27:25 ::  Train Loss Value: 0.3334973513144255
09 Feb 12:31:24 ::  Train Loss Value: 0.33465107667684557
09 Feb 12:35:25 ::  Train Loss Value: 0.3347855940800905
09 Feb 12:39:28 ::  Train Loss Value: 0.3346112279421091
09 Feb 12:43:30 ::  Train Loss Value: 0.33729720650851724
09 Feb 12:47:27 ::  Train Loss Value: 0.3351120659136772
09 Feb 12:51:26 ::  Train Loss Value: 0.33505275511324406
09 Feb 12:55:30 ::  Train Loss Value: 0.33297117206692695
09 Feb 12:59:32 ::  Train Loss Value: 0.3316488206267357
09 Feb 13:03:35 ::  Train Loss Value: 0.3346842282807827
09 Feb 13:07:41 ::  Train Loss Value: 0.33683699368059633
09 Feb 13:11:42 ::  Train Loss Value: 0.33580921296358107
09 Feb 13:15:42 ::  Train Loss Value: 0.3339445346003771
09 Feb 13:19:48 ::  Train Loss Value: 0.33487344356536863
09 Feb 13:23:55 ::  Train Loss Value: 0.3328215090212226
09 Feb 13:28:07 ::  Train Loss Value: 0.3320164023053646
09 Feb 13:32:15 ::  Train Loss Value: 0.33012112390995024
09 Feb 13:36:18 ::  Train Loss Value: 0.3294684208989143
09 Feb 13:40:03 ::  Train Loss Value: 0.3288111161124706
09 Feb 13:44:10 ::  Train Loss Value: 0.3304844958102703
09 Feb 13:48:04 ::  Train Loss Value: 0.32997868382632733
09 Feb 13:52:07 ::  Train Loss Value: 0.3311721240568161
09 Feb 13:56:06 ::  Train Loss Value: 0.33176251319169997
09 Feb 14:00:09 ::  Train Loss Value: 0.3313875558012724
09 Feb 14:04:17 ::  Train Loss Value: 0.33020623388588427
09 Feb 14:08:19 ::  Train Loss Value: 0.3284950074195862
09 Feb 14:12:25 ::  Train Loss Value: 0.32887357822299
09 Feb 14:16:32 ::  Train Loss Value: 0.3286839153921604
09 Feb 14:20:35 ::  Train Loss Value: 0.33157980238735674
09 Feb 14:25:00 ::  Train Loss Value: 0.3313121887239814
09 Feb 14:29:02 ::  Train Loss Value: 0.3297323386609554
09 Feb 14:33:08 ::  Train Loss Value: 0.33069458615899083
09 Feb 14:37:11 ::  Train Loss Value: 0.33152980162799356
09 Feb 14:41:14 ::  Train Loss Value: 0.3302028556585312
09 Feb 14:45:17 ::  Train Loss Value: 0.33252650797724725
09 Feb 14:49:10 ::  Train Loss Value: 0.3317232059031725
09 Feb 14:53:13 ::  Train Loss Value: 0.3312818313294649
09 Feb 14:57:12 ::  Train Loss Value: 0.33036555534005163
09 Feb 15:01:13 ::  Train Loss Value: 0.3299369944602251
09 Feb 15:05:17 ::  Train Loss Value: 0.32929013154268266
09 Feb 15:09:19 ::  Train Loss Value: 0.32791555276811124
09 Feb 15:13:16 ::  Train Loss Value: 0.3281000528931618
09 Feb 15:17:11 ::  Train Loss Value: 0.32757194691956043
09 Feb 15:21:09 ::  Train Loss Value: 0.3254669376009703
09 Feb 15:25:15 ::  Train Loss Value: 0.3235615641337633
09 Feb 15:29:21 ::  Train Loss Value: 0.32606783441066745
09 Feb 15:33:31 ::  Train Loss Value: 0.3246699744528532
09 Feb 15:37:31 ::  Train Loss Value: 0.32489070205569265
09 Feb 15:41:31 ::  Train Loss Value: 0.32692340010106563
09 Feb 15:45:32 ::  Train Loss Value: 0.32458536227881907
09 Feb 15:49:29 ::  Train Loss Value: 0.32345614721536636
09 Feb 15:53:35 ::  Train Loss Value: 0.3248806627714634
09 Feb 15:57:36 ::  Train Loss Value: 0.3223668846410513
09 Feb 16:01:41 ::  Train Loss Value: 0.3226990953141451
09 Feb 16:05:43 ::  Train Loss Value: 0.32054390706837177
